"slug","title","creator","search_url","cover_url","notes"
"summa-theologica-selected-questions","Summa Theologica: Selected Questions","Thomas Aquinas","https://openlibrary.org/search?q=Summa%20Theologica:%20Selected%20Questions%20Thomas%20Aquinas","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-brothers-karamazov","The Brothers Karamazov","Fyodor Dostoevsky","https://openlibrary.org/search?q=The%20Brothers%20Karamazov%20Fyodor%20Dostoevsky","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"crime-and-punishment","Crime and Punishment","Fyodor Dostoevsky","https://openlibrary.org/search?q=Crime%20and%20Punishment%20Fyodor%20Dostoevsky","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"notes-from-underground","Notes from Underground","Fyodor Dostoevsky","https://openlibrary.org/search?q=Notes%20from%20Underground%20Fyodor%20Dostoevsky","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-death-of-ivan-ilyich","The Death of Ivan Ilyich","Leo Tolstoy","https://openlibrary.org/search?q=The%20Death%20of%20Ivan%20Ilyich%20Leo%20Tolstoy","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"nineteen-eighty-four","1984","George Orwell","https://openlibrary.org/search?q=1984%20George%20Orwell","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"brave-new-world","Brave New World","Aldous Huxley","https://openlibrary.org/search?q=Brave%20New%20World%20Aldous%20Huxley","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-divine-comedy","The Divine Comedy","Dante Alighieri","https://openlibrary.org/search?q=The%20Divine%20Comedy%20Dante%20Alighieri","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"mans-search-for-meaning","Man’s Search for Meaning","Viktor E. Frankl","https://openlibrary.org/search?q=Man%E2%80%99s%20Search%20for%20Meaning%20Viktor%20E.%20Frankl","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"atomic-habits","Atomic Habits","James Clear","https://openlibrary.org/search?q=Atomic%20Habits%20James%20Clear","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"deep-work","Deep Work","Cal Newport","https://openlibrary.org/search?q=Deep%20Work%20Cal%20Newport","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"thinking-fast-and-slow","Thinking, Fast and Slow","Daniel Kahneman","https://openlibrary.org/search?q=Thinking,%20Fast%20and%20Slow%20Daniel%20Kahneman","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-righteous-mind","The Righteous Mind","Jonathan Haidt","https://openlibrary.org/search?q=The%20Righteous%20Mind%20Jonathan%20Haidt","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"how-to-win-friends-and-influence-people","How to Win Friends and Influence People","Dale Carnegie","https://openlibrary.org/search?q=How%20to%20Win%20Friends%20and%20Influence%20People%20Dale%20Carnegie","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-psychology-of-money","The Psychology of Money","Morgan Housel","https://openlibrary.org/search?q=The%20Psychology%20of%20Money%20Morgan%20Housel","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-little-book-of-common-sense-investing","The Little Book of Common Sense Investing","John C. Bogle","https://openlibrary.org/search?q=The%20Little%20Book%20of%20Common%20Sense%20Investing%20John%20C.%20Bogle","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"a-random-walk-down-wall-street","A Random Walk Down Wall Street","Burton G. Malkiel","https://openlibrary.org/search?q=A%20Random%20Walk%20Down%20Wall%20Street%20Burton%20G.%20Malkiel","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-intelligent-investor","The Intelligent Investor","Benjamin Graham","https://openlibrary.org/search?q=The%20Intelligent%20Investor%20Benjamin%20Graham","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"against-the-gods","Against the Gods","Peter L. Bernstein","https://openlibrary.org/search?q=Against%20the%20Gods%20Peter%20L.%20Bernstein","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-missing-billionaires","The Missing Billionaires","Victor Haghani and James White","https://openlibrary.org/search?q=The%20Missing%20Billionaires%20Victor%20Haghani%20and%20James%20White","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-personal-mba","The Personal MBA","Josh Kaufman","https://openlibrary.org/search?q=The%20Personal%20MBA%20Josh%20Kaufman","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-lean-startup","The Lean Startup","Eric Ries","https://openlibrary.org/search?q=The%20Lean%20Startup%20Eric%20Ries","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-mom-test","The Mom Test","Rob Fitzpatrick","https://openlibrary.org/search?q=The%20Mom%20Test%20Rob%20Fitzpatrick","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"influence","Influence","Robert B. Cialdini","https://openlibrary.org/search?q=Influence%20Robert%20B.%20Cialdini","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"never-split-the-difference","Never Split the Difference","Chris Voss","https://openlibrary.org/search?q=Never%20Split%20the%20Difference%20Chris%20Voss","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"good-strategy-bad-strategy","Good Strategy/Bad Strategy","Richard Rumelt","https://openlibrary.org/search?q=Good%20Strategy/Bad%20Strategy%20Richard%20Rumelt","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"why-nations-fail","Why Nations Fail","Daron Acemoglu and James A. Robinson","https://openlibrary.org/search?q=Why%20Nations%20Fail%20Daron%20Acemoglu%20and%20James%20A.%20Robinson","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-undercover-economist","The Undercover Economist","Tim Harford","https://openlibrary.org/search?q=The%20Undercover%20Economist%20Tim%20Harford","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"on-liberty","On Liberty","John Stuart Mill","https://openlibrary.org/search?q=On%20Liberty%20John%20Stuart%20Mill","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-prince","The Prince","Niccolò Machiavelli","https://openlibrary.org/search?q=The%20Prince%20Niccolò%20Machiavelli","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-road-to-serfdom","The Road to Serfdom","Friedrich A. Hayek","https://openlibrary.org/search?q=The%20Road%20to%20Serfdom%20Friedrich%20A.%20Hayek","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-communist-manifesto","The Communist Manifesto","Karl Marx and Friedrich Engels","https://openlibrary.org/search?q=The%20Communist%20Manifesto%20Karl%20Marx%20and%20Friedrich%20Engels","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-origins-of-totalitarianism","The Origins of Totalitarianism","Hannah Arendt","https://openlibrary.org/search?q=The%20Origins%20of%20Totalitarianism%20Hannah%20Arendt","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"prisoners-of-geography","Prisoners of Geography","Tim Marshall","https://openlibrary.org/search?q=Prisoners%20of%20Geography%20Tim%20Marshall","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"a-little-history-of-the-world","A Little History of the World","E. H. Gombrich","https://openlibrary.org/search?q=A%20Little%20History%20of%20the%20World%20E.%20H.%20Gombrich","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"the-demon-haunted-world","The Demon-Haunted World","Carl Sagan","https://openlibrary.org/search?q=The%20Demon-Haunted%20World%20Carl%20Sagan","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"code-the-hidden-language","Code","Charles Petzold","https://openlibrary.org/search?q=Code%20Charles%20Petzold","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
"chip-war","Chip War","Chris Miller","https://openlibrary.org/search?q=Chip%20War%20Chris%20Miller","","Paste the cover URL of the edition you own, or /covers/<file>.jpg"
